"yr","date","Latitude","Longitude","pyro","doy","pyrocat","subsegment"
2013,2013-03-15,27.86111,-82.58911,NA,74,NA,"SW"
2013,2013-03-22,28.02,-82.675,NA,81,NA,"NW"
2013,2013-03-22,27.972,-82.673,333,81,"No bloom","NW"
2013,2013-03-22,27.98,-82.62,333,81,"No bloom","NE"
2013,2013-03-22,27.942,-82.577,333,81,"No bloom","CE"
2013,2013-03-22,27.957,-82.622,NA,81,NA,"CE"
2013,2013-03-22,27.942,-82.675,NA,81,NA,"CW"
2013,2013-03-22,27.9055,-82.6046,333,81,"No bloom","SW"
2013,2013-03-22,27.9244,-82.5496,NA,81,NA,"SE"
2013,2013-03-22,27.86111,-82.58911,NA,81,NA,"SW"
2013,2013-04-02,28.02,-82.675,NA,92,NA,"NW"
2013,2013-04-02,27.972,-82.673,NA,92,NA,"NW"
2013,2013-04-02,27.98,-82.62,NA,92,NA,"NE"
2013,2013-04-02,27.942,-82.577,NA,92,NA,"CE"
2013,2013-04-02,27.957,-82.622,NA,92,NA,"CE"
2013,2013-04-02,27.942,-82.675,NA,92,NA,"CW"
2013,2013-04-02,27.9055,-82.6046,NA,92,NA,"SW"
2013,2013-04-02,27.9244,-82.5496,333,92,"No bloom","SE"
2013,2013-04-02,27.86111,-82.58911,NA,92,NA,"SW"
2013,2013-04-09,28.02,-82.675,333,99,"No bloom","NW"
2013,2013-04-09,27.972,-82.673,NA,99,NA,"NW"
2013,2013-04-09,27.98,-82.62,NA,99,NA,"NE"
2013,2013-04-09,27.942,-82.577,NA,99,NA,"CE"
2013,2013-04-09,27.957,-82.622,NA,99,NA,"CE"
2013,2013-04-09,27.942,-82.675,NA,99,NA,"CW"
2013,2013-04-09,27.9055,-82.6046,NA,99,NA,"SW"
2013,2013-04-09,27.9244,-82.5496,NA,99,NA,"SE"
2013,2013-04-09,27.86111,-82.58911,NA,99,NA,"SW"
2013,2013-04-25,28.02,-82.675,NA,115,NA,"NW"
2013,2013-04-25,27.972,-82.673,NA,115,NA,"NW"
2013,2013-04-25,27.98,-82.62,NA,115,NA,"NE"
2013,2013-04-25,27.942,-82.577,NA,115,NA,"CE"
2013,2013-04-25,27.957,-82.622,2300,115,"No bloom","CE"
2013,2013-04-25,27.942,-82.675,NA,115,NA,"CW"
2013,2013-04-25,27.9055,-82.6046,NA,115,NA,"SW"
2013,2013-04-25,27.9244,-82.5496,333,115,"No bloom","SE"
2013,2013-04-25,27.86111,-82.58911,NA,115,NA,"SW"
