BAY_SEG,MAJOR_BASIN,BASIN,YEAR,MONTH,SOURCE,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
1,Coastal OTB,LTARPON,2008,8,NPS,21404856.54,21871.83006,5500.307571,114824.8492,543828.3964
1,Coastal OTB,LTARPON,2008,9,NPS,2365166.274,2536.675077,607.7659029,12687.76832,60091.24983
1,Coastal OTB,LTARPON,2008,10,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2008,11,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2008,12,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2009,1,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2009,2,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2009,3,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2009,4,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2009,5,NPS,0,0,0,0,0
1,Coastal OTB,LTARPON,2009,6,NPS,347.0712,0.374892523,0.086931149,1.768211406,8.21777094
1,Coastal OTB,LTARPON,2009,7,NPS,14476227.79,14893.1334,3719.889698,77656.707,367794.2775
1,Coastal OTB,LTARPON,2009,8,NPS,17547088.18,17917.41292,4508.994572,94130.12181,445814.9396
1,Coastal OTB,LTARPON,2009,9,NPS,9458681.832,9244.432987,2430.553981,50740.43419,240314.611
1,Coastal OTB,LTARPON,2009,10,NPS,3088781.736,2898.462456,793.7100413,16569.55263,78475.98583
1,Coastal OTB,LTARPON,2009,11,NPS,93015.0816,80.30708472,23.29754797,473.8806567,2202.362612
1,Coastal OTB,LTARPON,2009,12,NPS,3972949.617,3508.189092,995.1072739,20240.84633,94069.42987
1,Coastal OTB,LTARPON,2010,1,NPS,6288066.465,5835.342798,1574.976096,32035.59051,148885.5597
1,Coastal OTB,LTARPON,2010,2,NPS,5465043.321,5110.139413,1368.832954,27842.56352,129398.4468
1,Coastal OTB,LTARPON,2010,3,NPS,8960674.645,9003.763212,2244.386005,45651.63318,212166.1829
1,Coastal OTB,LTARPON,2010,4,NPS,7783319.568,8197.855215,1949.493113,39653.40378,184289.3832
1,Coastal OTB,LTARPON,2010,5,NPS,1117241.386,1051.076272,279.8361763,5691.970296,26453.45909
1,Coastal OTB,LTARPON,2010,6,NPS,1761064.06,2210.616306,441.0948601,8972.030973,41697.55673
1,Coastal OTB,LTARPON,2010,7,NPS,16654139.56,17639.71369,4279.53767,89339.96166,423127.994
