year,month,basin,BAY_SEG,source,majbasin,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
2020,6,LTARPON,1,NPS,Coastal OTB,4799003.064,4591.022994,1202.4443,24625.43205,114443.851
2020,7,LTARPON,1,NPS,Coastal OTB,2009446.284,2123.694739,516.6754963,10855.63014,51407.67797
2020,8,LTARPON,1,NPS,Coastal OTB,5857306.322,6022.135902,1506.050038,31642.92153,149847.5076
2020,9,LTARPON,1,NPS,Coastal OTB,14727619.3,14440.79186,3786.814345,79563.00664,376776.785
2020,10,LTARPON,1,NPS,Coastal OTB,687632.8157,702.8396128,176.8064313,3714.798242,17591.71501
2020,11,LTARPON,1,NPS,Coastal OTB,2033713.278,1759.760186,509.5697807,10435.72331,48498.81866
2020,12,LTARPON,1,NPS,Coastal OTB,1892153.812,1745.249948,474.1004611,9709.330144,45122.99033
2021,1,LTARPON,1,NPS,Coastal OTB,860128.8016,800.0522666,215.5149644,4413.634055,20511.85446
2021,2,LTARPON,1,NPS,Coastal OTB,2724712.559,2513.419535,682.7074377,13981.49221,64977.37007
2021,3,LTARPON,1,NPS,Coastal OTB,307781.7805,331.0366478,77.11819365,1579.34038,7339.801987
2021,4,LTARPON,1,NPS,Coastal OTB,776199.948,818.5248089,194.4856444,3982.964549,18510.36767
2021,5,LTARPON,1,NPS,Coastal OTB,0,0,0,0,0
2021,6,LTARPON,1,NPS,Coastal OTB,3594666,3428.241121,900.6840763,18445.54007,85723.51685
2021,7,LTARPON,1,NPS,Coastal OTB,24297463.08,23592.25181,6247.444332,131262.1665,621602.1636
2021,8,LTARPON,1,NPS,Coastal OTB,14038390.28,14325.30008,3609.597491,75839.58521,359144.2342
2021,9,LTARPON,1,NPS,Coastal OTB,16606861.1,16659.07553,4270.011233,89715.23322,424853.4408
2021,10,LTARPON,1,NPS,Coastal OTB,251546.6497,250.6540366,64.67850926,1358.930276,6435.319654
2021,11,LTARPON,1,NPS,Coastal OTB,2591382.324,2442.896299,649.3000448,13297.32623,61797.7877
2021,12,LTARPON,1,NPS,Coastal OTB,350389.9684,326.0667365,87.79415529,1797.978506,8355.897422
