"yr","date","Latitude","Longitude","pyro","doy","pyrocat"
2013,2013-05-09,27.98,-82.62,NA,129,NA
2013,2013-05-09,27.942,-82.577,333,129,"No bloom"
2013,2013-05-09,27.957,-82.622,2000,129,"No bloom"
2013,2013-05-09,27.942,-82.675,2300,129,"No bloom"
2013,2013-05-09,27.9055,-82.6046,1600,129,"No bloom"
2013,2013-05-09,27.9205,-82.5496,NA,129,NA
2013,2013-05-09,27.86111,-82.58911,NA,129,NA
2013,2013-05-09,27.7723,-82.5789,333,129,"No bloom"
2013,2013-05-17,28.02,-82.675,1300,137,"No bloom"
2013,2013-05-17,27.972,-82.673,333,137,"No bloom"
2013,2013-05-17,27.98,-82.62,333,137,"No bloom"
2013,2013-05-17,27.942,-82.577,NA,137,NA
2013,2013-05-17,27.957,-82.622,667,137,"No bloom"
2013,2013-05-17,27.942,-82.675,NA,137,NA
2013,2013-05-17,27.9055,-82.6046,333,137,"No bloom"
2013,2013-05-17,27.9244,-82.5496,NA,137,NA
2013,2013-05-17,27.86111,-82.58911,667,137,"No bloom"
2013,2013-05-17,27.7723,-82.5789,NA,137,NA
2013,2013-05-22,28.02,-82.675,333,142,"No bloom"
2013,2013-05-22,27.972,-82.673,5000,142,"No bloom"
2013,2013-05-22,27.98,-82.62,NA,142,NA
2013,2013-05-22,27.949,-82.561,1000,142,"No bloom"
2013,2013-05-22,27.957,-82.622,1600,142,"No bloom"
2013,2013-05-22,27.942,-82.675,87600,142,"Low"
2013,2013-05-22,27.9055,-82.6046,1300,142,"No bloom"
2013,2013-05-22,27.9244,-82.5496,NA,142,NA
2013,2013-05-22,27.86111,-82.58911,NA,142,NA
2013,2013-05-22,27.7723,-82.5789,NA,142,NA
2013,2013-06-04,28.02,-82.675,NA,155,NA
2013,2013-06-04,27.972,-82.673,NA,155,NA
2013,2013-06-04,27.98,-82.62,333,155,"No bloom"
2013,2013-06-04,27.949,-82.561,NA,155,NA
2013,2013-06-04,27.957,-82.622,NA,155,NA
2013,2013-06-04,27.942,-82.675,NA,155,NA
2013,2013-06-04,27.9055,-82.6046,NA,155,NA
2013,2013-06-04,27.9244,-82.5496,NA,155,NA
2013,2013-06-04,27.86111,-82.58911,NA,155,NA
2013,2013-06-04,27.7723,-82.5789,NA,155,NA
2013,2013-06-11,28.02,-82.675,NA,162,NA
2013,2013-06-11,27.972,-82.673,NA,162,NA
2013,2013-06-11,27.98,-82.62,NA,162,NA
2013,2013-06-11,27.949,-82.561,NA,162,NA
2013,2013-06-11,27.957,-82.622,NA,162,NA
2013,2013-06-11,27.942,-82.675,NA,162,NA
2013,2013-06-11,27.9055,-82.6046,NA,162,NA
2013,2013-06-11,27.9244,-82.5496,NA,162,NA
2013,2013-06-11,27.86111,-82.58911,NA,162,NA
2013,2013-06-11,27.7723,-82.5789,NA,162,NA
2013,2013-06-18,28.02,-82.675,NA,169,NA
2013,2013-06-18,27.972,-82.673,NA,169,NA
2013,2013-06-18,27.98,-82.62,NA,169,NA
2013,2013-06-18,27.949,-82.561,NA,169,NA
2013,2013-06-18,27.957,-82.622,NA,169,NA
2013,2013-06-18,27.942,-82.675,NA,169,NA
2013,2013-06-18,27.9055,-82.6046,NA,169,NA
2013,2013-06-18,27.9244,-82.5496,NA,169,NA
2013,2013-06-18,27.86111,-82.58911,NA,169,NA
2013,2013-06-18,27.7723,-82.5789,NA,169,NA
2013,2013-06-26,28.02,-82.675,27600,177,"Low"
2013,2013-06-26,27.972,-82.673,NA,177,NA
2013,2013-06-26,27.98,-82.62,NA,177,NA
2013,2013-06-26,27.949,-82.561,NA,177,NA
2013,2013-06-26,27.957,-82.622,NA,177,NA
2013,2013-06-26,27.942,-82.675,NA,177,NA
2013,2013-06-26,27.9055,-82.6046,NA,177,NA
