year,month,bay_segment,hy_load_106_m3_mo
1995,7,Hillsborough Bay,155.377381
1995,8,Hillsborough Bay,324.8847397
1995,9,Hillsborough Bay,226.2730474
1995,10,Hillsborough Bay,214.241888
1995,11,Hillsborough Bay,81.20604935
1995,12,Hillsborough Bay,46.79825999
1996,1,Hillsborough Bay,150.2750661
1996,2,Hillsborough Bay,93.42190751
1996,3,Hillsborough Bay,93.57219927
1996,4,Hillsborough Bay,113.2321807
1996,5,Hillsborough Bay,54.69745177
1996,6,Hillsborough Bay,103.182897
1996,7,Hillsborough Bay,120.5033737
1996,8,Hillsborough Bay,68.47679842
1996,9,Hillsborough Bay,67.35042902
1996,10,Hillsborough Bay,67.17838755
1996,11,Hillsborough Bay,28.29649772
1996,12,Hillsborough Bay,39.53817639
1997,1,Hillsborough Bay,29.24796542
1997,2,Hillsborough Bay,27.02047028
1997,3,Hillsborough Bay,27.26110921
1997,4,Hillsborough Bay,56.04240751
1997,5,Hillsborough Bay,33.14530066
1997,6,Hillsborough Bay,37.05880535
1997,7,Hillsborough Bay,82.48943242
1997,8,Hillsborough Bay,125.0041882
1997,9,Hillsborough Bay,171.3358938
1997,10,Hillsborough Bay,121.4569426
1997,11,Hillsborough Bay,191.5956662
1997,12,Hillsborough Bay,367.9444235
1998,1,Hillsborough Bay,287.6572355
1998,2,Hillsborough Bay,383.4507038
1998,3,Hillsborough Bay,365.7430711
1998,4,Hillsborough Bay,93.79977853
1998,5,Hillsborough Bay,36.2706867
1998,6,Hillsborough Bay,35.93993867
1998,7,Hillsborough Bay,110.5760625
1998,8,Hillsborough Bay,91.42030805
1998,9,Hillsborough Bay,282.182966
1998,10,Hillsborough Bay,129.9873974
1998,11,Hillsborough Bay,66.65219542
1998,12,Hillsborough Bay,49.29913451
1999,1,Hillsborough Bay,74.09779923
1999,2,Hillsborough Bay,48.45519177
1999,3,Hillsborough Bay,38.67442959
1999,4,Hillsborough Bay,28.68182437
1999,5,Hillsborough Bay,37.46002953
1999,6,Hillsborough Bay,77.66882347
1999,7,Hillsborough Bay,95.46484292
1999,8,Hillsborough Bay,109.7025955
